"","rt","est","resp","laten","good","SU","Age","Sex"
"1",327,1,4,37312,1,25,19,"F"
"2",343,1,4,39374,1,25,19,"F"
"3",342,1,4,41234,1,25,19,"F"
"4",-99,2,-99,42467,1,25,19,"F"
"5",250,1,4,43734,1,25,19,"F"
"6",312,1,4,45812,1,25,19,"F"
"7",297,1,4,47812,1,25,19,"F"
"8",250,1,4,49812,1,25,19,"F"
"9",360,1,4,51139,1,25,19,"F"
"10",-99,2,-99,52687,1,25,19,"F"
"11",250,1,4,54717,1,25,19,"F"
"12",296,1,4,55734,1,25,19,"F"
"13",250,1,4,56764,1,25,19,"F"
"14",329,1,4,58701,1,25,19,"F"
"15",359,1,4,59937,1,25,19,"F"
"16",282,2,4,61842,1,25,19,"F"
"17",-99,1,-99,62780,1,25,19,"F"
"18",236,1,4,63951,1,25,19,"F"
"19",327,1,4,66124,1,25,19,"F"
"20",-99,2,-99,67092,1,25,19,"F"
"21",313,1,4,68921,1,25,19,"F"
"22",-99,2,-99,70609,1,25,19,"F"
"23",282,1,4,72717,1,25,19,"F"
"24",423,1,4,73889,1,25,19,"F"
"25",-99,1,-99,74826,1,25,19,"F"
"26",-99,2,-99,76984,1,25,19,"F"
"27",250,1,4,78905,1,25,19,"F"
"28",280,1,4,80171,1,25,19,"F"
"29",250,1,4,81717,1,25,19,"F"
"30",-99,2,-99,82999,1,25,19,"F"
"31",282,1,4,84280,1,25,19,"F"
"32",298,1,4,85826,1,25,19,"F"
"33",437,1,4,86859,1,25,19,"F"
"34",266,1,4,88389,1,25,19,"F"
"35",313,1,4,89624,1,25,19,"F"
"36",-99,2,-99,91999,1,25,19,"F"
"37",296,1,4,93421,1,25,19,"F"
"38",375,1,4,94764,1,25,19,"F"
"39",266,1,4,97076,1,25,19,"F"
"40",250,2,4,99374,1,25,19,"F"
"41",-99,1,-99,101296,1,25,19,"F"
"42",282,1,4,103342,1,25,19,"F"
"43",-99,1,-99,105514,1,25,19,"F"
"44",-99,2,-99,107421,1,25,19,"F"
"45",218,1,4,108624,1,25,19,"F"
"46",281,1,4,110124,1,25,19,"F"
"47",375,1,4,112201,1,25,19,"F"
"48",266,1,4,114421,1,25,19,"F"
"49",280,1,4,115734,1,25,19,"F"
"50",280,1,4,117734,1,25,19,"F"
"51",297,1,4,118842,1,25,19,"F"
"52",-99,2,-99,120326,1,25,19,"F"
"53",359,1,4,121405,1,25,19,"F"
"54",250,1,4,122374,1,25,19,"F"
"55",312,1,4,124155,1,25,19,"F"
"56",-99,2,-99,125296,1,25,19,"F"
"57",250,1,4,126342,1,25,19,"F"
"58",-99,1,-99,127592,1,25,19,"F"
"59",233,1,4,128859,1,25,19,"F"
"60",298,1,4,130701,1,25,19,"F"
"61",202,1,4,132187,1,25,19,"F"
"62",-99,2,-99,134109,1,25,19,"F"
"63",234,1,4,136280,1,25,19,"F"
"64",313,1,4,137421,1,25,19,"F"
"65",250,1,4,139514,1,25,19,"F"
"66",280,2,4,141671,1,25,19,"F"
"67",234,1,4,143842,1,25,19,"F"
"68",405,1,4,145187,1,25,19,"F"
"69",298,1,4,146264,1,25,19,"F"
"70",-99,2,-99,148405,1,25,19,"F"
"71",281,1,4,149999,1,25,19,"F"
"72",280,1,4,151546,1,25,19,"F"
"73",283,1,4,153576,1,25,19,"F"
"74",282,1,4,155092,1,25,19,"F"
"75",313,1,4,156671,1,25,19,"F"
"76",-99,2,-99,158264,1,25,19,"F"
"77",281,1,4,159999,1,25,19,"F"
"78",-99,2,-99,161842,1,25,19,"F"
"79",313,1,4,163671,1,25,19,"F"
"80",250,1,4,166030,1,25,19,"F"
"81",265,1,4,167874,1,25,19,"F"
"82",313,1,4,169717,1,25,19,"F"
"83",-99,1,-99,171187,1,25,19,"F"
"84",234,1,4,173171,1,25,19,"F"
"85",234,1,4,174967,1,25,19,"F"
"86",-99,2,-99,177014,1,25,19,"F"
"87",280,1,4,177921,1,25,19,"F"
"88",250,1,4,180124,1,25,19,"F"
"89",280,1,4,182187,1,25,19,"F"
"90",235,1,4,184499,1,25,19,"F"
"91",234,1,4,185842,1,25,19,"F"
"92",250,1,4,188014,1,25,19,"F"
"93",250,1,4,189405,1,25,19,"F"
"94",235,2,4,191264,1,25,19,"F"
"95",250,1,4,192671,1,25,19,"F"
"96",267,1,4,194467,1,25,19,"F"
"97",283,1,4,195826,1,25,19,"F"
"98",250,1,4,197062,1,25,19,"F"
"99",250,1,4,198592,1,25,19,"F"
"100",281,2,4,200124,1,25,19,"F"
"101",359,1,4,236030,1,25,19,"F"
"102",296,1,4,236984,1,25,19,"F"
"103",250,1,4,238092,1,25,19,"F"
"104",-99,2,-99,239139,1,25,19,"F"
"105",265,1,4,240374,1,25,19,"F"
"106",282,1,4,242764,1,25,19,"F"
"107",280,1,4,244609,1,25,19,"F"
"108",407,1,4,246030,1,25,19,"F"
"109",298,1,4,247076,1,25,19,"F"
"110",-99,2,-99,248155,1,25,19,"F"
"111",329,1,4,249342,1,25,19,"F"
"112",280,1,4,251484,1,25,19,"F"
"113",343,1,4,253499,1,25,19,"F"
"114",407,1,4,254842,1,25,19,"F"
"115",328,1,4,256609,1,25,19,"F"
"116",-99,2,-99,257905,1,25,19,"F"
"117",359,1,4,259092,1,25,19,"F"
"118",296,1,4,260655,1,25,19,"F"
"119",265,1,4,262359,1,25,19,"F"
"120",-99,2,-99,263671,1,25,19,"F"
"121",298,1,4,266076,1,25,19,"F"
"122",250,1,4,267499,1,25,19,"F"
"123",312,1,4,269905,1,25,19,"F"
"124",-99,2,-99,272326,1,25,19,"F"
"125",359,1,4,273546,1,25,19,"F"
"126",297,1,4,274562,1,25,19,"F"
"127",280,1,4,276546,1,25,19,"F"
"128",375,1,4,278576,1,25,19,"F"
"129",313,1,4,279999,1,25,19,"F"
"130",312,1,4,282109,1,25,19,"F"
"131",281,1,4,284374,1,25,19,"F"
"132",-99,2,-99,286124,1,25,19,"F"
"133",265,1,4,287624,1,25,19,"F"
"134",297,1,4,288749,1,25,19,"F"
"135",298,1,4,289826,1,25,19,"F"
"136",266,1,4,290905,1,25,19,"F"
"137",329,1,4,292951,1,25,19,"F"
"138",282,1,4,295092,1,25,19,"F"
"139",329,1,4,296576,1,25,19,"F"
"140",-99,2,-99,297671,1,25,19,"F"
"141",296,1,4,298984,1,25,19,"F"
"142",250,1,4,300499,1,25,19,"F"
"143",282,1,4,302264,1,25,19,"F"
"144",-99,2,-99,304062,1,25,19,"F"
"145",312,1,4,306437,1,25,19,"F"
"146",-99,2,-99,307780,1,25,19,"F"
"147",359,1,4,308717,1,25,19,"F"
"148",188,1,4,310592,1,25,19,"F"
"149",250,1,4,312514,1,25,19,"F"
"150",-99,2,-99,314109,1,25,19,"F"
"151",408,1,4,316326,1,25,19,"F"
"152",-99,2,-99,318312,1,25,19,"F"
"153",280,1,4,320359,1,25,19,"F"
"154",-99,2,-99,321562,1,25,19,"F"
"155",283,1,4,323326,1,25,19,"F"
"156",265,1,4,324249,1,25,19,"F"
"157",266,1,4,325280,1,25,19,"F"
"158",250,1,4,327467,1,25,19,"F"
"159",343,1,4,328796,1,25,19,"F"
"160",265,1,4,329859,1,25,19,"F"
"161",234,1,4,330842,1,25,19,"F"
"162",327,2,4,332687,1,25,19,"F"
"163",329,1,4,334217,1,25,19,"F"
"164",313,1,4,336092,1,25,19,"F"
"165",313,1,4,338467,1,25,19,"F"
"166",313,1,4,340796,1,25,19,"F"
"167",391,1,4,342796,1,25,19,"F"
"168",375,1,4,345046,1,25,19,"F"
"169",-99,1,-99,346014,1,25,19,"F"
"170",329,2,4,348280,1,25,19,"F"
"171",375,1,4,349359,1,25,19,"F"
"172",218,1,4,350421,1,25,19,"F"
"173",266,1,4,351514,1,25,19,"F"
"174",360,1,4,353889,1,25,19,"F"
"175",234,1,4,355921,1,25,19,"F"
"176",266,1,4,357030,1,25,19,"F"
"177",265,1,4,358874,1,25,19,"F"
"178",-99,2,-99,360826,1,25,19,"F"
"179",329,1,4,361905,1,25,19,"F"
"180",250,1,4,364046,1,25,19,"F"
"181",250,1,4,365701,1,25,19,"F"
"182",220,1,4,367326,1,25,19,"F"
"183",250,1,4,369467,1,25,19,"F"
"184",-99,2,-99,370421,1,25,19,"F"
"185",234,1,4,372780,1,25,19,"F"
"186",-99,2,-99,374905,1,25,19,"F"
"187",343,1,4,376187,1,25,19,"F"
"188",-99,2,-99,377109,1,25,19,"F"
"189",250,1,4,378109,1,25,19,"F"
"190",266,1,4,379030,1,25,19,"F"
"191",250,1,4,380624,1,25,19,"F"
"192",250,2,4,382609,1,25,19,"F"
"193",297,1,4,384717,1,25,19,"F"
"194",296,1,4,386671,1,25,19,"F"
"195",250,1,4,388764,1,25,19,"F"
"196",250,2,4,389874,1,25,19,"F"
"197",250,1,4,390967,1,25,19,"F"
"198",344,1,4,392905,1,25,19,"F"
"199",250,1,4,394217,1,25,19,"F"
"200",235,1,4,395249,1,25,19,"F"
"201",390,1,4,450484,1,25,19,"F"
"202",375,2,4,452842,1,25,19,"F"
"203",329,1,4,454530,1,25,19,"F"
"204",327,1,4,455437,1,25,19,"F"
"205",437,1,4,457280,1,25,19,"F"
"206",266,1,4,458389,1,25,19,"F"
"207",266,1,4,459701,1,25,19,"F"
"208",312,1,4,460687,1,25,19,"F"
"209",250,1,4,462671,1,25,19,"F"
"210",-99,2,-99,464874,1,25,19,"F"
"211",265,1,4,466859,1,25,19,"F"
"212",283,1,4,468576,1,25,19,"F"
"213",280,1,4,469796,1,25,19,"F"
"214",329,1,4,472201,1,25,19,"F"
"215",313,1,4,473499,1,25,19,"F"
"216",-99,2,-99,474576,1,25,19,"F"
"217",298,1,4,476639,1,25,19,"F"
"218",250,1,4,478030,1,25,19,"F"
