"","onset","duration","value","response","rt","good","SU","misport_code","misport_port","misport_time","misport_time_error","seq"
"1",35.5649,1,10,1,389.4,1,1,0,0,0,0,1
"2",36.9649,1,10,1,317.6,1,1,0,0,0,0,2
"3",38.1315,1,10,1,255.2,1,1,0,0,0,0,3
"4",39.5814,1,10,1,293.5,1,1,0,0,0,0,4
"5",40.7314,1,10,1,295.7,1,1,0,0,0,0,5
"6",41.7647,1,21,-99,-99,1,1,0,0,0,0,0
"7",42.798,1,10,1,453.4,1,1,0,0,0,0,1
"8",44.3146,1,21,-99,-99,1,1,0,0,0,0,0
"9",45.8312,1,10,1,316.6,1,1,0,0,0,0,1
"10",47.3145,1,10,1,401.7,1,1,0,0,0,0,2
"11",48.7477,1,10,1,328.7,1,1,0,0,0,0,3
"12",49.881,1,10,1,347.5,1,1,0,0,0,0,4
"13",51.5476,1,10,1,441.2,1,1,0,0,0,0,5
"14",52.7142,1,10,1,378.8,1,1,0,0,0,0,6
"15",54.4475,1,10,1,293.7,1,1,0,0,0,0,7
"16",56.114,1,21,1,291.5,1,1,0,0,0,0,0
"17",57.7807,1,10,1,449.1,1,1,0,0,0,0,1
"18",59.4806,1,21,1,317.4,1,1,0,0,0,0,0
"19",61.1805,1,10,-99,-99,1,1,0,0,0,0,1
"20",62.5638,1,10,1,290.7,1,1,0,0,0,0,2
"21",64.1804,1,10,1,354.4,1,1,0,0,0,0,3
"22",65.347,1,10,1,324,1,1,0,0,0,0,4
"23",66.9969,1,10,1,402.3,1,1,0,0,0,0,5
"24",68.5969,1,10,1,434.5,1,1,0,0,0,0,6
"25",69.6968,1,10,1,310.8,1,1,0,0,0,0,7
"26",70.9301,1,21,1,277.6,1,1,0,0,0,0,0
"27",72.1634,1,10,1,388.6,1,1,0,0,0,0,1
"28",73.4467,1,10,1,337.5,1,1,0,0,0,0,2
"29",74.9966,1,10,1,387.9,1,1,0,0,0,0,3
"30",76.5299,1,21,1,310.8,1,1,0,0,0,0,0
"31",79.3964,1,10,1,564.8,1,1,0,0,0,0,1
"32",80.463,1,10,1,298.3,1,1,0,0,0,0,2
"33",81.913,1,10,1,432.5,1,1,0,0,0,0,3
"34",82.9796,1,21,-99,-99,1,1,0,0,0,0,0
"35",84.0462,1,10,1,299.7,1,1,0,0,0,0,1
"36",85.8128,1,10,1,517.4,1,1,0,0,0,0,2
"37",87.4127,1,10,1,293.7,1,1,0,0,0,0,3
"38",89.1293,1,10,1,449.3,1,1,0,0,0,0,4
"39",90.2126,1,10,1,454.2,1,1,0,0,0,0,5
"40",91.9959,1,10,1,415.2,1,1,0,0,0,0,6
"41",93.0458,1,10,1,421.5,1,1,0,0,0,0,7
"42",94.5291,1,21,1,282.4,1,1,0,0,0,0,0
"43",96.0124,1,10,1,447.4,1,1,0,0,0,0,1
"44",97.0789,1,10,1,373,1,1,0,0,0,0,2
"45",98.2289,1,10,-99,-99,1,1,0,0,0,0,3
"46",99.8955,1,10,1,372.8,1,1,0,0,0,0,4
"47",101.0455,1,10,1,391,1,1,0,0,0,0,5
"48",102.3288,1,21,-99,-99,1,1,0,0,0,0,0
"49",103.612,1,10,-99,-99,1,1,0,0,0,0,1
"50",104.962,1,10,1,427.2,1,1,0,0,0,0,2
"51",106.6119,1,10,1,281.5,1,1,0,0,0,0,3
"52",107.7285,1,10,1,301,1,1,0,0,0,0,4
"53",109.3451,1,10,1,524.7,1,1,0,0,0,0,5
"54",110.7451,1,21,1,292.9,1,1,0,0,0,0,0
"55",112.145,1,10,1,397.3,1,1,0,0,0,0,1
"56",113.3616,1,10,1,428.8,1,1,0,0,0,0,2
"57",115.1116,1,10,1,311.1,1,1,0,0,0,0,3
"58",116.1615,1,21,-99,-99,1,1,0,0,0,0,0
"59",117.2115,1,10,1,307.5,1,1,0,0,0,0,1
"60",118.2781,1,21,-99,-99,1,1,0,0,0,0,0
"61",120.5113,1,10,1,336.2,1,1,0,0,0,0,1
"62",121.5113,1,10,1,392.4,1,1,0,0,0,0,2
"63",123.0446,1,10,1,315.4,1,1,0,0,0,0,3
"64",124.8278,1,10,1,420.4,1,1,0,0,0,0,4
"65",126.1944,1,10,1,446,1,1,0,0,0,0,5
"66",127.411,1,21,-99,-99,1,1,0,0,0,0,0
"67",128.6277,1,10,1,429.1,1,1,0,0,0,0,1
"68",129.7609,1,10,1,400.1,1,1,0,0,0,0,2
"69",131.1775,1,10,1,471.7,1,1,0,0,0,0,3
"70",132.9441,1,10,1,561.4,1,1,0,0,0,0,4
"71",134.7607,1,10,1,313,1,1,0,0,0,0,5
"72",136.4273,1,21,-99,-99,1,1,0,0,0,0,0
"73",138.0939,1,10,1,292.4,1,1,0,0,0,0,1
"74",139.7438,1,10,1,402.8,1,1,0,0,0,0,2
"75",140.7938,1,10,1,360.9,1,1,0,0,0,0,3
"76",142.5271,1,10,1,275.9,1,1,0,0,0,0,4
"77",144.1603,1,10,1,275,1,1,0,0,0,0,5
