 rt 	  est 	  resp 	  laten 	  good 	  SU 
  327	 1	 4	 37312	 1	 P_MM_06101994
 343	 1	 4	 39374	 1	 P_MM_06101994
 342	 1	 4	 41234	 1	 P_MM_06101994
 -99	 2	 -99	 42467	 1	 P_MM_06101994
 250	 1	 4	 43734	 1	 P_MM_06101994
 312	 1	 4	 45812	 1	 P_MM_06101994
 297	 1	 4	 47812	 1	 P_MM_06101994
 250	 1	 4	 49812	 1	 P_MM_06101994
 360	 1	 4	 51139	 1	 P_MM_06101994
 -99	 2	 -99	 52687	 1	 P_MM_06101994
 250	 1	 4	 54717	 1	 P_MM_06101994
 296	 1	 4	 55734	 1	 P_MM_06101994
 250	 1	 4	 56764	 1	 P_MM_06101994
 329	 1	 4	 58701	 1	 P_MM_06101994
 359	 1	 4	 59937	 1	 P_MM_06101994
 282	 2	 4	 61842	 1	 P_MM_06101994
 -99	 1	 -99	 62780	 1	 P_MM_06101994
 236	 1	 4	 63951	 1	 P_MM_06101994
 327	 1	 4	 66124	 1	 P_MM_06101994
 -99	 2	 -99	 67092	 1	 P_MM_06101994
 313	 1	 4	 68921	 1	 P_MM_06101994
 -99	 2	 -99	 70609	 1	 P_MM_06101994
 282	 1	 4	 72717	 1	 P_MM_06101994
 423	 1	 4	 73889	 1	 P_MM_06101994
 -99	 1	 -99	 74826	 1	 P_MM_06101994
 -99	 2	 -99	 76984	 1	 P_MM_06101994
 250	 1	 4	 78905	 1	 P_MM_06101994
 280	 1	 4	 80171	 1	 P_MM_06101994
 250	 1	 4	 81717	 1	 P_MM_06101994
 -99	 2	 -99	 82999	 1	 P_MM_06101994
 282	 1	 4	 84280	 1	 P_MM_06101994
 298	 1	 4	 85826	 1	 P_MM_06101994
 437	 1	 4	 86859	 1	 P_MM_06101994
 266	 1	 4	 88389	 1	 P_MM_06101994
 313	 1	 4	 89624	 1	 P_MM_06101994
 -99	 2	 -99	 91999	 1	 P_MM_06101994
 296	 1	 4	 93421	 1	 P_MM_06101994
 375	 1	 4	 94764	 1	 P_MM_06101994
 266	 1	 4	 97076	 1	 P_MM_06101994
 250	 2	 4	 99374	 1	 P_MM_06101994
 -99	 1	 -99	 101296	 1	 P_MM_06101994
 282	 1	 4	 103342	 1	 P_MM_06101994
 -99	 1	 -99	 105514	 1	 P_MM_06101994
 -99	 2	 -99	 107421	 1	 P_MM_06101994
 218	 1	 4	 108624	 1	 P_MM_06101994
 281	 1	 4	 110124	 1	 P_MM_06101994
 375	 1	 4	 112201	 1	 P_MM_06101994
 266	 1	 4	 114421	 1	 P_MM_06101994
 280	 1	 4	 115734	 1	 P_MM_06101994
 280	 1	 4	 117734	 1	 P_MM_06101994
 297	 1	 4	 118842	 1	 P_MM_06101994
 -99	 2	 -99	 120326	 1	 P_MM_06101994
 359	 1	 4	 121405	 1	 P_MM_06101994
 250	 1	 4	 122374	 1	 P_MM_06101994
 312	 1	 4	 124155	 1	 P_MM_06101994
 -99	 2	 -99	 125296	 1	 P_MM_06101994
 250	 1	 4	 126342	 1	 P_MM_06101994
 -99	 1	 -99	 127592	 1	 P_MM_06101994
 233	 1	 4	 128859	 1	 P_MM_06101994
 298	 1	 4	 130701	 1	 P_MM_06101994
 202	 1	 4	 132187	 1	 P_MM_06101994
 -99	 2	 -99	 134109	 1	 P_MM_06101994
 234	 1	 4	 136280	 1	 P_MM_06101994
 313	 1	 4	 137421	 1	 P_MM_06101994
 250	 1	 4	 139514	 1	 P_MM_06101994
 280	 2	 4	 141671	 1	 P_MM_06101994
 234	 1	 4	 143842	 1	 P_MM_06101994
 405	 1	 4	 145187	 1	 P_MM_06101994
 298	 1	 4	 146264	 1	 P_MM_06101994
 -99	 2	 -99	 148405	 1	 P_MM_06101994
 281	 1	 4	 149999	 1	 P_MM_06101994
 280	 1	 4	 151546	 1	 P_MM_06101994
 283	 1	 4	 153576	 1	 P_MM_06101994
 282	 1	 4	 155092	 1	 P_MM_06101994
 313	 1	 4	 156671	 1	 P_MM_06101994
 -99	 2	 -99	 158264	 1	 P_MM_06101994
 281	 1	 4	 159999	 1	 P_MM_06101994
 -99	 2	 -99	 161842	 1	 P_MM_06101994
 313	 1	 4	 163671	 1	 P_MM_06101994
 250	 1	 4	 166030	 1	 P_MM_06101994
 265	 1	 4	 167874	 1	 P_MM_06101994
 313	 1	 4	 169717	 1	 P_MM_06101994
 -99	 1	 -99	 171187	 1	 P_MM_06101994
 234	 1	 4	 173171	 1	 P_MM_06101994
 234	 1	 4	 174967	 1	 P_MM_06101994
 -99	 2	 -99	 177014	 1	 P_MM_06101994
 280	 1	 4	 177921	 1	 P_MM_06101994
 250	 1	 4	 180124	 1	 P_MM_06101994
 280	 1	 4	 182187	 1	 P_MM_06101994
 235	 1	 4	 184499	 1	 P_MM_06101994
 234	 1	 4	 185842	 1	 P_MM_06101994
 250	 1	 4	 188014	 1	 P_MM_06101994
 250	 1	 4	 189405	 1	 P_MM_06101994
 235	 2	 4	 191264	 1	 P_MM_06101994
 250	 1	 4	 192671	 1	 P_MM_06101994
 267	 1	 4	 194467	 1	 P_MM_06101994
 283	 1	 4	 195826	 1	 P_MM_06101994
 250	 1	 4	 197062	 1	 P_MM_06101994
 250	 1	 4	 198592	 1	 P_MM_06101994
 281	 2	 4	 200124	 1	 P_MM_06101994
 359	 1	 4	 236030	 1	 P_MM_06101994
 296	 1	 4	 236984	 1	 P_MM_06101994
 250	 1	 4	 238092	 1	 P_MM_06101994
 -99	 2	 -99	 239139	 1	 P_MM_06101994
 265	 1	 4	 240374	 1	 P_MM_06101994
 282	 1	 4	 242764	 1	 P_MM_06101994
 280	 1	 4	 244609	 1	 P_MM_06101994
 407	 1	 4	 246030	 1	 P_MM_06101994
 298	 1	 4	 247076	 1	 P_MM_06101994
 -99	 2	 -99	 248155	 1	 P_MM_06101994
 329	 1	 4	 249342	 1	 P_MM_06101994
 280	 1	 4	 251484	 1	 P_MM_06101994
 343	 1	 4	 253499	 1	 P_MM_06101994
 407	 1	 4	 254842	 1	 P_MM_06101994
 328	 1	 4	 256609	 1	 P_MM_06101994
 -99	 2	 -99	 257905	 1	 P_MM_06101994
 359	 1	 4	 259092	 1	 P_MM_06101994
 296	 1	 4	 260655	 1	 P_MM_06101994
 265	 1	 4	 262359	 1	 P_MM_06101994
 -99	 2	 -99	 263671	 1	 P_MM_06101994
 298	 1	 4	 266076	 1	 P_MM_06101994
 250	 1	 4	 267499	 1	 P_MM_06101994
 312	 1	 4	 269905	 1	 P_MM_06101994
 -99	 2	 -99	 272326	 1	 P_MM_06101994
 359	 1	 4	 273546	 1	 P_MM_06101994
 297	 1	 4	 274562	 1	 P_MM_06101994
 280	 1	 4	 276546	 1	 P_MM_06101994
 375	 1	 4	 278576	 1	 P_MM_06101994
 313	 1	 4	 279999	 1	 P_MM_06101994
 312	 1	 4	 282109	 1	 P_MM_06101994
 281	 1	 4	 284374	 1	 P_MM_06101994
 -99	 2	 -99	 286124	 1	 P_MM_06101994
 265	 1	 4	 287624	 1	 P_MM_06101994
 297	 1	 4	 288749	 1	 P_MM_06101994
 298	 1	 4	 289826	 1	 P_MM_06101994
 266	 1	 4	 290905	 1	 P_MM_06101994
 329	 1	 4	 292951	 1	 P_MM_06101994
 282	 1	 4	 295092	 1	 P_MM_06101994
 329	 1	 4	 296576	 1	 P_MM_06101994
 -99	 2	 -99	 297671	 1	 P_MM_06101994
 296	 1	 4	 298984	 1	 P_MM_06101994
 250	 1	 4	 300499	 1	 P_MM_06101994
 282	 1	 4	 302264	 1	 P_MM_06101994
 -99	 2	 -99	 304062	 1	 P_MM_06101994
 312	 1	 4	 306437	 1	 P_MM_06101994
