onset	duration	value	response	rt	good	SU	misport_code	misport_port	misport_time	misport_time_error	seq
35.5649	1	10	1	389.4	1	AAAS_13071969	0	0	0	0	1
36.9649	1	10	1	317.6	1	AAAS_13071969	0	0	0	0	2
38.1315	1	10	1	255.2	1	AAAS_13071969	0	0	0	0	3
39.5814	1	10	1	293.5	1	AAAS_13071969	0	0	0	0	4
40.7314	1	10	1	295.7	1	AAAS_13071969	0	0	0	0	5
41.7647	1	21	-99	-99	1	AAAS_13071969	0	0	0	0	0
42.798	1	10	1	453.4	1	AAAS_13071969	0	0	0	0	1
44.3146	1	21	-99	-99	1	AAAS_13071969	0	0	0	0	0
45.8312	1	10	1	316.6	1	AAAS_13071969	0	0	0	0	1
47.3145	1	10	1	401.7	1	AAAS_13071969	0	0	0	0	2
48.7477	1	10	1	328.7	1	AAAS_13071969	0	0	0	0	3
49.881	1	10	1	347.5	1	AAAS_13071969	0	0	0	0	4
51.5476	1	10	1	441.2	1	AAAS_13071969	0	0	0	0	5
52.7142	1	10	1	378.8	1	AAAS_13071969	0	0	0	0	6
54.4475	1	10	1	293.7	1	AAAS_13071969	0	0	0	0	7
56.114	1	21	1	291.5	1	AAAS_13071969	0	0	0	0	0
57.7807	1	10	1	449.1	1	AAAS_13071969	0	0	0	0	1
59.4806	1	21	1	317.4	1	AAAS_13071969	0	0	0	0	0
61.1805	1	10	-99	-99	1	AAAS_13071969	0	0	0	0	1
62.5638	1	10	1	290.7	1	AAAS_13071969	0	0	0	0	2
64.1804	1	10	1	354.4	1	AAAS_13071969	0	0	0	0	3
65.347	1	10	1	324	1	AAAS_13071969	0	0	0	0	4
66.9969	1	10	1	402.3	1	AAAS_13071969	0	0	0	0	5
68.5969	1	10	1	434.5	1	AAAS_13071969	0	0	0	0	6
69.6968	1	10	1	310.8	1	AAAS_13071969	0	0	0	0	7
70.9301	1	21	1	277.6	1	AAAS_13071969	0	0	0	0	0
72.1634	1	10	1	388.6	1	AAAS_13071969	0	0	0	0	1
73.4467	1	10	1	337.5	1	AAAS_13071969	0	0	0	0	2
74.9966	1	10	1	387.9	1	AAAS_13071969	0	0	0	0	3
76.5299	1	21	1	310.8	1	AAAS_13071969	0	0	0	0	0
79.3964	1	10	1	564.8	1	AAAS_13071969	0	0	0	0	1
80.463	1	10	1	298.3	1	AAAS_13071969	0	0	0	0	2
81.913	1	10	1	432.5	1	AAAS_13071969	0	0	0	0	3
82.9796	1	21	-99	-99	1	AAAS_13071969	0	0	0	0	0
84.0462	1	10	1	299.7	1	AAAS_13071969	0	0	0	0	1
85.8128	1	10	1	517.4	1	AAAS_13071969	0	0	0	0	2
87.4127	1	10	1	293.7	1	AAAS_13071969	0	0	0	0	3
89.1293	1	10	1	449.3	1	AAAS_13071969	0	0	0	0	4
90.2126	1	10	1	454.2	1	AAAS_13071969	0	0	0	0	5
91.9959	1	10	1	415.2	1	AAAS_13071969	0	0	0	0	6
93.0458	1	10	1	421.5	1	AAAS_13071969	0	0	0	0	7
94.5291	1	21	1	282.4	1	AAAS_13071969	0	0	0	0	0
96.0124	1	10	1	447.4	1	AAAS_13071969	0	0	0	0	1
97.0789	1	10	1	373	1	AAAS_13071969	0	0	0	0	2
98.2289	1	10	-99	-99	1	AAAS_13071969	0	0	0	0	3
99.8955	1	10	1	372.8	1	AAAS_13071969	0	0	0	0	4
101.0455	1	10	1	391	1	AAAS_13071969	0	0	0	0	5
102.3288	1	21	-99	-99	1	AAAS_13071969	0	0	0	0	0
103.612	1	10	-99	-99	1	AAAS_13071969	0	0	0	0	1
104.962	1	10	1	427.2	1	AAAS_13071969	0	0	0	0	2
106.6119	1	10	1	281.5	1	AAAS_13071969	0	0	0	0	3
107.7285	1	10	1	301	1	AAAS_13071969	0	0	0	0	4
109.3451	1	10	1	524.7	1	AAAS_13071969	0	0	0	0	5
110.7451	1	21	1	292.9	1	AAAS_13071969	0	0	0	0	0
112.145	1	10	1	397.3	1	AAAS_13071969	0	0	0	0	1
113.3616	1	10	1	428.8	1	AAAS_13071969	0	0	0	0	2
115.1116	1	10	1	311.1	1	AAAS_13071969	0	0	0	0	3
116.1615	1	21	-99	-99	1	AAAS_13071969	0	0	0	0	0
117.2115	1	10	1	307.5	1	AAAS_13071969	0	0	0	0	1
118.2781	1	21	-99	-99	1	AAAS_13071969	0	0	0	0	0
120.5113	1	10	1	336.2	1	AAAS_13071969	0	0	0	0	1
121.5113	1	10	1	392.4	1	AAAS_13071969	0	0	0	0	2
123.0446	1	10	1	315.4	1	AAAS_13071969	0	0	0	0	3
124.8278	1	10	1	420.4	1	AAAS_13071969	0	0	0	0	4
126.1944	1	10	1	446	1	AAAS_13071969	0	0	0	0	5
127.411	1	21	-99	-99	1	AAAS_13071969	0	0	0	0	0
128.6277	1	10	1	429.1	1	AAAS_13071969	0	0	0	0	1
129.7609	1	10	1	400.1	1	AAAS_13071969	0	0	0	0	2
131.1775	1	10	1	471.7	1	AAAS_13071969	0	0	0	0	3
132.9441	1	10	1	561.4	1	AAAS_13071969	0	0	0	0	4
134.7607	1	10	1	313	1	AAAS_13071969	0	0	0	0	5
136.4273	1	21	-99	-99	1	AAAS_13071969	0	0	0	0	0
138.0939	1	10	1	292.4	1	AAAS_13071969	0	0	0	0	1
139.7438	1	10	1	402.8	1	AAAS_13071969	0	0	0	0	2
140.7938	1	10	1	360.9	1	AAAS_13071969	0	0	0	0	3
142.5271	1	10	1	275.9	1	AAAS_13071969	0	0	0	0	4
