"","rt","est","resp","laten","good","acu","seq","subN","Age","Sex"
"1",623,11,3,14930.6,1,1,1,1,31,"M"
"2",362.7,11,3,17990.3,1,1,2,1,31,"M"
"3",411.2,11,2,20734.1,1,1,3,1,31,"M"
"4",383,11,3,24425.8,1,1,4,1,31,"M"
"5",434.7,11,1,27884.6,1,1,5,1,31,"M"
"6",629.9,12,3,29930,1,1,1,1,31,"M"
"7",503,12,2,32956.5,1,1,2,1,31,"M"
"8",746.2,12,2,36398.7,1,0,3,1,31,"M"
"9",698.9,12,3,39242.2,1,1,4,1,31,"M"
"10",507.4,12,1,42800.9,1,1,5,1,31,"M"
"11",719.2,12,3,46525.8,1,1,6,1,31,"M"
"12",442.8,11,2,48803.9,1,1,1,1,31,"M"
"13",423.9,11,2,51747.3,1,1,2,1,31,"M"
"14",409.7,11,1,54640.8,1,1,3,1,31,"M"
"15",454.9,11,2,58382.3,1,1,4,1,31,"M"
"16",404.1,11,1,61708.1,1,1,5,1,31,"M"
"17",388.7,11,2,64834.4,1,1,6,1,31,"M"
"18",376.6,11,1,68526,1,1,7,1,31,"M"
"19",434.8,11,2,71652.3,1,1,8,1,31,"M"
"20",741.1,12,1,75510.2,1,1,1,1,31,"M"
"21",561.7,12,1,77921.4,1,1,2,1,31,"M"
"22",778.6,12,1,80665.2,1,0,3,1,31,"M"
"23",386.5,11,1,82843.6,1,1,1,1,31,"M"
"24",427.6,11,3,86169.4,1,1,2,1,31,"M"
"25",451.1,11,3,89977.5,1,1,3,1,31,"M"
"26",375.4,11,1,93053.9,1,1,4,1,31,"M"
"27",371.5,11,2,96795.4,1,1,5,1,31,"M"
"28",378.8,11,1,100586.8,1,1,6,1,31,"M"
"29",405,11,2,102515.8,1,1,7,1,31,"M"
"30",923.4,12,3,104411.5,1,0,1,1,31,"M"
"31",984,12,1,108269.5,1,0,2,1,31,"M"
"32",643.8,12,2,110398,1,0,3,1,31,"M"
"33",486.9,12,2,113940,1,1,4,1,31,"M"
"34",413.9,11,2,117265.8,1,1,1,1,31,"M"
"35",377.5,11,1,119211.4,1,1,2,1,31,"M"
"36",419.6,11,2,122853.1,1,1,3,1,31,"M"
"37",374.1,11,2,126578,1,1,4,1,31,"M"
"38",427.7,11,2,129188.8,1,1,5,1,31,"M"
"39",397.9,11,3,132830.6,1,1,6,1,31,"M"
"40",397.6,11,1,135574.4,1,1,7,1,31,"M"
"41",420.6,11,3,138550.9,1,1,8,1,31,"M"
"42",882.5,12,3,140513.2,1,0,1,1,31,"M"
