"","onset","duration","value","response","rt","good","acu","seq","subN"
"1",15.3914,1,11,3,1133.5,1,0,1,1
"2",17.8784,1,11,2,518.5,1,1,2,1
"3",21.1115,1,11,3,621.4,1,1,3,1
"4",24.2617,1,11,1,551.3,1,1,4,1
"5",27.0968,1,11,1,460.1,1,1,5,1
"6",29.3351,1,12,3,853.8,1,0,1,1
"7",31.6398,1,12,2,773.1,1,1,2,1
"8",34.4252,1,12,2,859.7,1,0,3,1
"9",36.6469,1,12,3,918,1,0,4,1
"10",38.852,1,11,3,664.9,1,1,1,1
"11",41.3888,1,11,2,536.1,1,1,2,1
"12",44.6716,1,11,3,541.4,1,1,3,1
"13",47.2415,1,12,2,659.5,1,1,1,1
"14",49.8611,1,12,2,759.9,1,1,2,1
"15",52.315,1,12,3,802,1,1,3,1
"16",55.432,1,12,2,653,1,1,4,1
"17",58.9801,1,12,1,752.9,1,1,5,1
"18",61.8816,1,12,3,747.3,1,1,6,1
"19",65.496,1,12,1,781,1,1,7,1
"20",67.5685,1,11,3,676.5,1,1,1,1
"21",71.2493,1,11,2,555.7,1,1,2,1
"22",73.8192,1,11,3,553.8,1,1,3,1
"23",76.0906,1,11,2,530.4,1,1,4,1
"24",79.7216,1,11,1,403.3,1,1,5,1
"25",81.8936,1,11,2,431.4,1,1,6,1
"26",85.5744,1,12,3,918.6,1,0,1,1
"27",88.3764,1,12,3,788.6,1,1,2,1
"28",91.3442,1,12,3,660.8,1,1,3,1
"29",94.3949,1,12,2,810.1,1,1,4,1
"30",97.3959,1,12,3,753.1,1,1,5,1
"31",99.7502,1,12,1,990.8,1,0,6,1
"32",102.5688,1,12,2,708.2,1,1,7,1
"33",106.0009,1,12,2,716.1,1,1,8,1
"34",109.7977,1,11,1,631.3,1,1,1,1
"35",111.9863,1,11,2,506.7,1,1,2,1
"36",115.3354,1,11,1,661.6,1,1,3,1
"37",118.8669,1,12,1,746.1,1,1,1,1
"38",121.4866,1,12,3,806.4,1,1,2,1
"39",125.2834,1,12,1,689.6,1,1,3,1
"40",127.1901,1,12,3,814.9,1,1,4,1
"41",129.4947,1,12,3,654.3,1,1,5,1
"42",131.3848,1,12,3,804.2,1,1,6,1
"43",134.0708,1,12,3,1118.2,1,0,7,1
"44",136.392,1,12,3,621,1,1,8,1
"45",138.5971,1,11,1,575.9,1,1,1,1
"46",141.9794,1,11,1,633.6,1,1,2,1
"47",145.2788,1,11,1,510.2,1,1,3,1
"48",147.6498,1,11,2,523.2,1,1,4,1
"49",151.1647,1,11,3,512.3,1,1,5,1
"50",153.8009,1,11,2,444.1,1,1,6,1
"51",157.6309,1,12,1,742.1,1,1,1,1
"52",160.7645,1,12,1,656.5,1,1,2,1
"53",162.7541,1,12,1,706.9,1,1,3,1
"54",165.0256,1,12,2,963.4,1,0,4,1
"55",168.2421,1,12,3,802.9,1,1,5,1
"56",170.1488,1,11,3,664.2,1,1,1,1
"57",173.5145,1,11,2,490.5,1,1,2,1
"58",176.3994,1,11,3,709.7,1,1,3,1
"59",179.5496,1,11,1,463.4,1,1,4,1
"60",181.8874,1,11,3,589.6,1,1,5,1
"61",184.0428,1,11,3,482.2,1,1,6,1
"62",187.823,1,11,2,462,1,1,7,1
