onset	duration	value	response	rt	good	acu	seq	subID	subN
15.3914	1	11	3	1133.5	1	0	1	ACRC_11051992	1
17.8784	1	11	2	518.5	1	1	2	ACRC_11051992	1
21.1115	1	11	3	621.4	1	1	3	ACRC_11051992	1
24.2617	1	11	1	551.3	1	1	4	ACRC_11051992	1
27.0968	1	11	1	460.1	1	1	5	ACRC_11051992	1
29.3351	1	12	3	853.8	1	0	1	ACRC_11051992	1
31.6398	1	12	2	773.1	1	1	2	ACRC_11051992	1
34.4252	1	12	2	859.7	1	0	3	ACRC_11051992	1
36.6469	1	12	3	918	1	0	4	ACRC_11051992	1
38.852	1	11	3	664.9	1	1	1	ACRC_11051992	1
41.3888	1	11	2	536.1	1	1	2	ACRC_11051992	1
44.6716	1	11	3	541.4	1	1	3	ACRC_11051992	1
47.2415	1	12	2	659.5	1	1	1	ACRC_11051992	1
49.8611	1	12	2	759.9	1	1	2	ACRC_11051992	1
52.315	1	12	3	802	1	1	3	ACRC_11051992	1
55.432	1	12	2	653	1	1	4	ACRC_11051992	1
58.9801	1	12	1	752.9	1	1	5	ACRC_11051992	1
61.8816	1	12	3	747.3	1	1	6	ACRC_11051992	1
65.496	1	12	1	781	1	1	7	ACRC_11051992	1
67.5685	1	11	3	676.5	1	1	1	ACRC_11051992	1
71.2493	1	11	2	555.7	1	1	2	ACRC_11051992	1
73.8192	1	11	3	553.8	1	1	3	ACRC_11051992	1
76.0906	1	11	2	530.4	1	1	4	ACRC_11051992	1
79.7216	1	11	1	403.3	1	1	5	ACRC_11051992	1
81.8936	1	11	2	431.4	1	1	6	ACRC_11051992	1
85.5744	1	12	3	918.6	1	0	1	ACRC_11051992	1
88.3764	1	12	3	788.6	1	1	2	ACRC_11051992	1
91.3442	1	12	3	660.8	1	1	3	ACRC_11051992	1
94.3949	1	12	2	810.1	1	1	4	ACRC_11051992	1
97.3959	1	12	3	753.1	1	1	5	ACRC_11051992	1
99.7502	1	12	1	990.8	1	0	6	ACRC_11051992	1
102.5688	1	12	2	708.2	1	1	7	ACRC_11051992	1
106.0009	1	12	2	716.1	1	1	8	ACRC_11051992	1
109.7977	1	11	1	631.3	1	1	1	ACRC_11051992	1
111.9863	1	11	2	506.7	1	1	2	ACRC_11051992	1
115.3354	1	11	1	661.6	1	1	3	ACRC_11051992	1
118.8669	1	12	1	746.1	1	1	1	ACRC_11051992	1
121.4866	1	12	3	806.4	1	1	2	ACRC_11051992	1
125.2834	1	12	1	689.6	1	1	3	ACRC_11051992	1
127.1901	1	12	3	814.9	1	1	4	ACRC_11051992	1
129.4947	1	12	3	654.3	1	1	5	ACRC_11051992	1
131.3848	1	12	3	804.2	1	1	6	ACRC_11051992	1
134.0708	1	12	3	1118.2	1	0	7	ACRC_11051992	1
136.392	1	12	3	621	1	1	8	ACRC_11051992	1
138.5971	1	11	1	575.9	1	1	1	ACRC_11051992	1
141.9794	1	11	1	633.6	1	1	2	ACRC_11051992	1
145.2788	1	11	1	510.2	1	1	3	ACRC_11051992	1
147.6498	1	11	2	523.2	1	1	4	ACRC_11051992	1
151.1647	1	11	3	512.3	1	1	5	ACRC_11051992	1
153.8009	1	11	2	444.1	1	1	6	ACRC_11051992	1
157.6309	1	12	1	742.1	1	1	1	ACRC_11051992	1
160.7645	1	12	1	656.5	1	1	2	ACRC_11051992	1
162.7541	1	12	1	706.9	1	1	3	ACRC_11051992	1
165.0256	1	12	2	963.4	1	0	4	ACRC_11051992	1
168.2421	1	12	3	802.9	1	1	5	ACRC_11051992	1
170.1488	1	11	3	664.2	1	1	1	ACRC_11051992	1
173.5145	1	11	2	490.5	1	1	2	ACRC_11051992	1
176.3994	1	11	3	709.7	1	1	3	ACRC_11051992	1
179.5496	1	11	1	463.4	1	1	4	ACRC_11051992	1
181.8874	1	11	3	589.6	1	1	5	ACRC_11051992	1
184.0428	1	11	3	482.2	1	1	6	ACRC_11051992	1
187.823	1	11	2	462	1	1	7	ACRC_11051992	1
190.625	1	12	1	612	1	1	1	ACRC_11051992	1
193.3607	1	12	3	852.3	1	0	2	ACRC_11051992	1
196.0633	1	12	1	669.7	1	1	3	ACRC_11051992	1
198.0031	1	12	2	1177.9	1	0	4	ACRC_11051992	1
200.4072	1	11	2	477.8	1	1	1	ACRC_11051992	1
