 rt 	  est 	  resp 	  laten 	  good 	  acu 	  seq 	  subID 	  subN 
  623	 11	 3	 14930.6	 1	 1	 1	 BAMF_22091986	 1
 362.7	 11	 3	 17990.3	 1	 1	 2	 BAMF_22091986	 1
 411.2	 11	 2	 20734.1	 1	 1	 3	 BAMF_22091986	 1
 383	 11	 3	 24425.8	 1	 1	 4	 BAMF_22091986	 1
 434.7	 11	 1	 27884.6	 1	 1	 5	 BAMF_22091986	 1
 629.9	 12	 3	 29930	 1	 1	 1	 BAMF_22091986	 1
 503	 12	 2	 32956.5	 1	 1	 2	 BAMF_22091986	 1
 746.2	 12	 2	 36398.7	 1	 0	 3	 BAMF_22091986	 1
 698.9	 12	 3	 39242.2	 1	 1	 4	 BAMF_22091986	 1
 507.4	 12	 1	 42800.9	 1	 1	 5	 BAMF_22091986	 1
 719.2	 12	 3	 46525.8	 1	 1	 6	 BAMF_22091986	 1
 442.8	 11	 2	 48803.9	 1	 1	 1	 BAMF_22091986	 1
 423.9	 11	 2	 51747.3	 1	 1	 2	 BAMF_22091986	 1
 409.7	 11	 1	 54640.8	 1	 1	 3	 BAMF_22091986	 1
 454.9	 11	 2	 58382.3	 1	 1	 4	 BAMF_22091986	 1
 404.1	 11	 1	 61708.1	 1	 1	 5	 BAMF_22091986	 1
 388.7	 11	 2	 64834.4	 1	 1	 6	 BAMF_22091986	 1
 376.6	 11	 1	 68526	 1	 1	 7	 BAMF_22091986	 1
 434.8	 11	 2	 71652.3	 1	 1	 8	 BAMF_22091986	 1
 741.1	 12	 1	 75510.2	 1	 1	 1	 BAMF_22091986	 1
 561.7	 12	 1	 77921.4	 1	 1	 2	 BAMF_22091986	 1
 778.6	 12	 1	 80665.2	 1	 0	 3	 BAMF_22091986	 1
 386.5	 11	 1	 82843.6	 1	 1	 1	 BAMF_22091986	 1
 427.6	 11	 3	 86169.4	 1	 1	 2	 BAMF_22091986	 1
 451.1	 11	 3	 89977.5	 1	 1	 3	 BAMF_22091986	 1
 375.4	 11	 1	 93053.9	 1	 1	 4	 BAMF_22091986	 1
 371.5	 11	 2	 96795.4	 1	 1	 5	 BAMF_22091986	 1
 378.8	 11	 1	 100586.8	 1	 1	 6	 BAMF_22091986	 1
 405	 11	 2	 102515.8	 1	 1	 7	 BAMF_22091986	 1
 923.4	 12	 3	 104411.5	 1	 0	 1	 BAMF_22091986	 1
 984	 12	 1	 108269.5	 1	 0	 2	 BAMF_22091986	 1
 643.8	 12	 2	 110398	 1	 0	 3	 BAMF_22091986	 1
 486.9	 12	 2	 113940	 1	 1	 4	 BAMF_22091986	 1
 413.9	 11	 2	 117265.8	 1	 1	 1	 BAMF_22091986	 1
 377.5	 11	 1	 119211.4	 1	 1	 2	 BAMF_22091986	 1
 419.6	 11	 2	 122853.1	 1	 1	 3	 BAMF_22091986	 1
 374.1	 11	 2	 126578	 1	 1	 4	 BAMF_22091986	 1
 427.7	 11	 2	 129188.8	 1	 1	 5	 BAMF_22091986	 1
 397.9	 11	 3	 132830.6	 1	 1	 6	 BAMF_22091986	 1
 397.6	 11	 1	 135574.4	 1	 1	 7	 BAMF_22091986	 1
 420.6	 11	 3	 138550.9	 1	 1	 8	 BAMF_22091986	 1
 882.5	 12	 3	 140513.2	 1	 0	 1	 BAMF_22091986	 1
 855.1	 12	 1	 143489.8	 1	 0	 2	 BAMF_22091986	 1
 604.3	 12	 1	 146433.1	 1	 0	 3	 BAMF_22091986	 1
 637.6	 12	 2	 149975.1	 1	 1	 4	 BAMF_22091986	 1
 533.3	 12	 3	 152935.1	 1	 1	 5	 BAMF_22091986	 1
 459.4	 11	 2	 155246.5	 1	 1	 1	 BAMF_22091986	 1
 419.7	 11	 2	 157258.6	 1	 1	 2	 BAMF_22091986	 1
 439.1	 11	 3	 160251.9	 1	 1	 3	 BAMF_22091986	 1
 584.6	 12	 1	 162214.1	 1	 1	 1	 BAMF_22091986	 1
 632.9	 12	 2	 164991.2	 1	 1	 2	 BAMF_22091986	 1
 891.8	 12	 2	 168499.9	 1	 0	 3	 BAMF_22091986	 1
 952	 12	 3	 170628.4	 1	 0	 4	 BAMF_22091986	 1
 760.5	 12	 2	 173338.9	 1	 1	 5	 BAMF_22091986	 1
 694.7	 12	 1	 176249	 1	 0	 6	 BAMF_22091986	 1
 486.3	 11	 3	 178119.5	 1	 1	 1	 BAMF_22091986	 1
 364.7	 11	 3	 180422.9	 1	 1	 2	 BAMF_22091986	 1
 437.5	 11	 3	 182800.9	 1	 1	 3	 BAMF_22091986	 1
 432.8	 11	 1	 186475.9	 1	 1	 4	 BAMF_22091986	 1
 368.4	 11	 1	 188537.9	 1	 1	 5	 BAMF_22091986	 1
 479.8	 11	 2	 191913.6	 1	 1	 6	 BAMF_22091986	 1
 456	 11	 3	 194507.7	 1	 1	 7	 BAMF_22091986	 1
 873.2	 12	 2	 197733.8	 1	 0	 1	 BAMF_22091986	 1
 623.1	 12	 3	 200710.4	 1	 1	 2	 BAMF_22091986	 1
 559.2	 12	 3	 203271.2	 1	 1	 3	 BAMF_22091986	 1
 529.7	 12	 3	 205882	 1	 1	 4	 BAMF_22091986	 1
 411.4	 11	 3	 209490.5	 1	 1	 1	 BAMF_22091986	 1
 394.1	 11	 2	 213265.3	 1	 1	 2	 BAMF_22091986	 1
