 rt 	  est 	  resp 	  laten 	  good 	  acu 	  seq 	  subID 	  subN 
  1133.5	 11	 3	 15391.4	 1	 1	 1	 ACRC_11051992	 1
 518.5	 11	 2	 17878.4	 1	 1	 2	 ACRC_11051992	 1
 621.4	 11	 3	 21111.5	 1	 1	 3	 ACRC_11051992	 1
 551.3	 11	 1	 24261.7	 1	 1	 4	 ACRC_11051992	 1
 460.1	 11	 1	 27096.8	 1	 1	 5	 ACRC_11051992	 1
 853.8	 12	 3	 29335.1	 1	 1	 1	 ACRC_11051992	 1
 773.1	 12	 2	 31639.8	 1	 1	 2	 ACRC_11051992	 1
 859.7	 12	 2	 34425.2	 1	 1	 3	 ACRC_11051992	 1
 918	 12	 3	 36646.9	 1	 1	 4	 ACRC_11051992	 1
 664.9	 11	 3	 38852	 1	 1	 1	 ACRC_11051992	 1
 536.1	 11	 2	 41388.8	 1	 1	 2	 ACRC_11051992	 1
 541.4	 11	 3	 44671.6	 1	 1	 3	 ACRC_11051992	 1
 659.5	 12	 2	 47241.5	 1	 1	 1	 ACRC_11051992	 1
 759.9	 12	 2	 49861.1	 1	 1	 2	 ACRC_11051992	 1
 802	 12	 3	 52315	 1	 1	 3	 ACRC_11051992	 1
 653	 12	 2	 55432	 1	 1	 4	 ACRC_11051992	 1
 752.9	 12	 1	 58980.1	 1	 1	 5	 ACRC_11051992	 1
 747.3	 12	 3	 61881.6	 1	 1	 6	 ACRC_11051992	 1
 781	 12	 1	 65496	 1	 1	 7	 ACRC_11051992	 1
 676.5	 11	 3	 67568.5	 1	 1	 1	 ACRC_11051992	 1
 555.7	 11	 2	 71249.3	 1	 1	 2	 ACRC_11051992	 1
 553.8	 11	 3	 73819.2	 1	 1	 3	 ACRC_11051992	 1
 530.4	 11	 2	 76090.6	 1	 1	 4	 ACRC_11051992	 1
 403.3	 11	 1	 79721.6	 1	 1	 5	 ACRC_11051992	 1
 431.4	 11	 2	 81893.6	 1	 1	 6	 ACRC_11051992	 1
 918.6	 12	 3	 85574.4	 1	 1	 1	 ACRC_11051992	 1
 788.6	 12	 3	 88376.4	 1	 1	 2	 ACRC_11051992	 1
 660.8	 12	 3	 91344.2	 1	 1	 3	 ACRC_11051992	 1
 810.1	 12	 2	 94394.9	 1	 1	 4	 ACRC_11051992	 1
 753.1	 12	 3	 97395.9	 1	 1	 5	 ACRC_11051992	 1
 990.8	 12	 1	 99750.2	 1	 1	 6	 ACRC_11051992	 1
 708.2	 12	 2	 102568.8	 1	 1	 7	 ACRC_11051992	 1
 716.1	 12	 2	 106000.9	 1	 1	 8	 ACRC_11051992	 1
 631.3	 11	 1	 109797.7	 1	 1	 1	 ACRC_11051992	 1
 506.7	 11	 2	 111986.3	 1	 1	 2	 ACRC_11051992	 1
 661.6	 11	 1	 115335.4	 1	 1	 3	 ACRC_11051992	 1
 746.1	 12	 1	 118866.9	 1	 1	 1	 ACRC_11051992	 1
 806.4	 12	 3	 121486.6	 1	 1	 2	 ACRC_11051992	 1
 689.6	 12	 1	 125283.4	 1	 1	 3	 ACRC_11051992	 1
 814.9	 12	 3	 127190.1	 1	 1	 4	 ACRC_11051992	 1
 654.3	 12	 3	 129494.7	 1	 1	 5	 ACRC_11051992	 1
 804.2	 12	 3	 131384.8	 1	 1	 6	 ACRC_11051992	 1
 1118.2	 12	 3	 134070.8	 1	 1	 7	 ACRC_11051992	 1
 621	 12	 3	 136392	 1	 1	 8	 ACRC_11051992	 1
 575.9	 11	 1	 138597.1	 1	 1	 1	 ACRC_11051992	 1
 633.6	 11	 1	 141979.4	 1	 1	 2	 ACRC_11051992	 1
 510.2	 11	 1	 145278.8	 1	 1	 3	 ACRC_11051992	 1
 523.2	 11	 2	 147649.8	 1	 1	 4	 ACRC_11051992	 1
 512.3	 11	 3	 151164.7	 1	 1	 5	 ACRC_11051992	 1
 444.1	 11	 2	 153800.9	 1	 1	 6	 ACRC_11051992	 1
 742.1	 12	 1	 157630.9	 1	 1	 1	 ACRC_11051992	 1
 656.5	 12	 1	 160764.5	 1	 1	 2	 ACRC_11051992	 1
 706.9	 12	 1	 162754.1	 1	 1	 3	 ACRC_11051992	 1
 963.4	 12	 2	 165025.6	 1	 0	 4	 ACRC_11051992	 1
 802.9	 12	 3	 168242.1	 1	 1	 5	 ACRC_11051992	 1
 664.2	 11	 3	 170148.8	 1	 1	 1	 ACRC_11051992	 1
 490.5	 11	 2	 173514.5	 1	 1	 2	 ACRC_11051992	 1
 709.7	 11	 3	 176399.4	 1	 1	 3	 ACRC_11051992	 1
 463.4	 11	 1	 179549.6	 1	 1	 4	 ACRC_11051992	 1
 589.6	 11	 3	 181887.4	 1	 1	 5	 ACRC_11051992	 1
 482.2	 11	 3	 184042.8	 1	 1	 6	 ACRC_11051992	 1
 462	 11	 2	 187823	 1	 1	 7	 ACRC_11051992	 1
 612	 12	 1	 190625	 1	 1	 1	 ACRC_11051992	 1
 852.3	 12	 3	 193360.7	 1	 1	 2	 ACRC_11051992	 1
 669.7	 12	 1	 196063.3	 1	 1	 3	 ACRC_11051992	 1
 1177.9	 12	 2	 198003.1	 1	 1	 4	 ACRC_11051992	 1
 477.8	 11	 2	 200407.2	 1	 1	 1	 ACRC_11051992	 1
 670.2	 11	 3	 204054.8	 1	 1	 2	 ACRC_11051992	 1
 505.1	 11	 1	 207403.9	 1	 1	 3	 ACRC_11051992	 1
 917.7	 12	 3	 209559.3	 1	 1	 1	 ACRC_11051992	 1
